% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
114.04,-954.83,70.369,33.07,313.3,3.5185,-13.921,0.96338,4102.8
24.641,-840.26,42.79,7.1458,321.32,2.1395,-12.25,0.96777,3610.5
-25.015,-1243.2,-836.82,-7.2542,293.11,-41.841,-18.125,0.95232,5341.9
-11.171,-922.9,-301.59,-3.2396,315.53,-15.08,-13.455,0.9646,3965.6
-282.73,-1121.5,-767.69,-81.99,301.63,-38.384,-16.351,0.95699,4819.2
103.06,-1168,-376.73,29.888,298.37,-18.837,-17.029,0.9552,5019
23.697,-1234.2,-139.23,6.8722,293.74,-6.9613,-17.994,0.95266,5303.3
-2.947,-838.13,-119.53,-0.85463,321.47,-5.9764,-12.219,0.96786,3601.4
-11.217,-1181.3,-448.22,-3.2529,297.45,-22.411,-17.222,0.9547,5075.7
-35.967,-1213.6,69.644,-10.43,295.18,3.4822,-17.693,0.95346,5214.6
9.2959,-956.7,65.191,2.6958,313.17,3.2595,-13.948,0.96331,4110.8
-146.77,-1073.6,-322.54,-42.564,304.98,-16.127,-15.652,0.95882,4613.1
-3.0594,-975.49,277.56,-0.88721,311.85,13.878,-14.222,0.96259,4191.6
43.168,-1900.8,-583.71,12.519,247.08,-29.185,-27.713,0.9271,8167.7
-2.7661,-1076.4,-353.89,-0.80217,304.78,-17.695,-15.694,0.95872,4625.4
41.642,-1462,-63.535,12.076,277.79,-3.1767,-21.315,0.94393,6282.1
-30.146,-1598.3,-682.82,-8.7424,268.26,-34.141,-23.302,0.9387,6867.6
-100.48,-879.19,-262.37,-29.139,318.59,-13.118,-12.818,0.96628,3777.8
103.1,-888.89,21.354,29.9,317.91,1.0677,-12.959,0.96591,3819.5
14.353,-1100.4,-184.44,4.1625,303.11,-9.2221,-16.043,0.9578,4728.3
123.86,-809.56,155.48,35.919,323.47,7.7741,-11.803,0.96895,3478.6
-52.782,-1047.9,-125.78,-15.307,306.78,-6.2888,-15.277,0.95981,4502.6
-154.47,-1235.4,-509.36,-44.796,293.66,-25.468,-18.011,0.95262,5308.2
55.055,-1152.3,-249.07,15.966,299.47,-12.453,-16.8,0.95581,4951.4
-51.306,-989.79,325.49,-14.879,310.85,16.275,-14.43,0.96204,4253
-53.606,-2007.2,-662.8,-15.546,239.63,-33.14,-29.264,0.92302,8624.8
