% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
13.317,-1179.6,-153.34,3.8618,244.28,-7.6669,-19.344,0.94082,5068.6
62.736,-1047.9,-320.7,18.193,253.5,-16.035,-17.185,0.94742,4502.7
98.052,-821,60.506,28.435,269.38,3.0253,-13.464,0.95881,3527.7
21.187,-722.48,36.793,6.1442,276.28,1.8396,-11.848,0.96375,3104.4
-21.508,-1068.9,-719.53,-6.2374,252.03,-35.976,-17.53,0.94637,4593.1
-9.6053,-793.54,-259.32,-2.7856,271.3,-12.966,-13.013,0.96019,3409.7
-243.1,-964.34,-660.08,-70.498,259.35,-33.004,-15.814,0.95162,4143.7
88.616,-1004.3,-323.93,25.699,256.55,-16.196,-16.47,0.94961,4315.5
20.376,-1061.2,-119.71,5.9089,252.57,-5.9855,-17.403,0.94676,4560
-2.5339,-720.65,-102.77,-0.73484,276.41,-5.1387,-11.818,0.96384,3096.6
-9.6446,-1015.7,-385.4,-2.7969,255.75,-19.27,-16.656,0.94904,4364.3
-30.925,-1043.5,59.883,-8.9683,253.81,2.9941,-17.112,0.94765,4483.7
7.9929,-822.6,56.053,2.3179,269.27,2.8027,-13.49,0.95873,3534.6
-126.2,-923.11,-277.33,-36.598,262.23,-13.866,-15.138,0.95368,3966.5
-2.6305,-838.76,238.66,-0.76285,268.14,11.933,-13.755,0.95792,3604.1
37.118,-1634.4,-501.89,10.764,212.44,-25.095,-26.803,0.918,7022.8
-2.3784,-925.56,-304.29,-0.68973,262.06,-15.214,-15.178,0.95356,3977.1
35.805,-1257.1,-54.629,10.383,238.86,-2.7315,-20.615,0.93693,5401.6
-25.921,-1374.2,-587.11,-7.517,230.66,-29.355,-22.536,0.93105,5905
-86.395,-755.95,-225.59,-25.055,273.94,-11.28,-12.397,0.96207,3248.3
88.652,-764.3,18.361,25.709,273.35,0.91804,-12.534,0.96165,3284.1
12.341,-946.15,-158.59,3.579,260.62,-7.9295,-15.516,0.95253,4065.5
106.5,-696.09,133.69,30.885,278.13,6.6844,-11.415,0.96508,2991
-45.384,-901,-108.15,-13.161,263.78,-5.4073,-14.776,0.95479,3871.5
-132.82,-1062.2,-437.96,-38.517,252.5,-21.898,-17.419,0.94671,4564.2
47.338,-990.79,-214.15,13.728,257.5,-10.708,-16.248,0.95029,4257.3
-44.114,-851.06,279.87,-12.793,267.28,13.993,-13.957,0.9573,3656.9
-46.092,-1725.9,-569.9,-13.367,206.04,-28.495,-28.303,0.91341,7415.9
-23.231,-816.52,-292.72,-6.7369,269.7,-14.636,-13.39,0.95903,3508.5
36.471,-857.03,-275.38,10.576,266.86,-13.769,-14.054,0.957,3682.6
-0.060921,-856.65,-33.828,-0.017667,266.89,-1.6914,-14.048,0.95702,3680.9
94.771,-947.94,-6.6012,27.484,260.5,-0.33006,-15.545,0.95244,4073.2
-25.322,-1008.9,-457.67,-7.3435,256.23,-22.883,-16.544,0.94938,4335
-105.21,-989.13,-423.69,-30.51,257.61,-21.185,-16.221,0.95037,4250.2
-51.614,-1512.6,-568.15,-14.968,220.97,-28.407,-24.805,0.92411,6499.3
-47.489,-844.25,-66.242,-13.772,267.75,-3.3121,-13.845,0.95764,3627.6
-52.97,-1560.9,-899.94,-15.361,217.59,-44.997,-25.598,0.92168,6707.2
2.2093,-787.85,-371.29,0.6407,271.7,-18.564,-12.92,0.96047,3385.3
37.287,-720.6,-18.369,10.813,276.41,-0.91846,-11.817,0.96385,3096.3
38.019,-730.58,30.314,11.026,275.71,1.5157,-11.981,0.96334,3139.2
-48.591,-909.13,72.425,-14.091,263.21,3.6213,-14.909,0.95439,3906.4
0.94316,-765.68,-59.775,0.27352,273.26,-2.9888,-12.556,0.96158,3290
43.88,-678.57,-2.9881,12.725,279.35,-0.14941,-11.128,0.96595,2915.8
-26.671,-852.07,-353.85,-7.7347,267.21,-17.693,-13.973,0.95725,3661.2
1.7217,-942.51,-34.874,0.49929,260.88,-1.7437,-15.456,0.95271,4049.9
20.895,-692.87,32.353,6.0595,278.35,1.6176,-11.362,0.96524,2977.2
-107.37,-1583.8,-369.48,-31.137,215.98,-18.474,-25.973,0.92053,6805.6
-39.505,-1246.1,-353.4,-11.457,239.62,-17.67,-20.435,0.93748,5354.4
89.067,-891.53,-803.17,25.83,264.45,-40.159,-14.62,0.95527,3830.8
6.206,-906.5,-164.54,1.7997,263.4,-8.227,-14.866,0.95452,3895.1
-40.801,-830.23,-183.04,-11.832,268.74,-9.1518,-13.615,0.95834,3567.4
-56.347,-1014.9,-536.49,-16.341,255.81,-26.824,-16.644,0.94908,4361
92.392,-762.71,-9.5098,26.794,273.46,-0.47549,-12.508,0.96173,3277.3
1.1986,-1229.1,-433.34,0.34758,240.82,-21.667,-20.156,0.93833,5281.3
98.907,-786.33,-61.792,28.683,271.81,-3.0896,-12.895,0.96055,3378.8
-45.993,-665.68,-127.09,-13.338,280.26,-6.3543,-10.916,0.9666,2860.3
47.049,-790.41,-80.374,13.644,271.52,-4.0187,-12.962,0.96034,3396.3
9.4551,-1340.5,-117.89,2.742,233.02,-5.8944,-21.983,0.93274,5760
-11.009,-1263.9,-110.41,-3.1927,238.38,-5.5206,-20.727,0.93659,5430.8
66.021,-1923.6,-320.28,19.146,192.2,-16.014,-31.545,0.90349,8265.4
190.33,-966.29,437.85,55.197,259.21,21.892,-15.846,0.95152,4152.1
-119.48,-822.84,-386.15,-34.65,269.25,-19.307,-13.494,0.95872,3535.7
-10.362,-1085,-653.21,-3.005,250.9,-32.661,-17.793,0.94556,4662.2
-34.95,-716.79,222.92,-10.136,276.68,11.146,-11.755,0.96404,3080
33.295,-1135.4,286.97,9.6557,247.37,14.349,-18.62,0.94303,4878.7
28.251,-1010.7,-213.87,8.1929,256.11,-10.694,-16.574,0.94929,4342.8
-32.038,-1007.7,-109.84,-9.2909,256.32,-5.4918,-16.525,0.94944,4329.8
158.61,-2476.7,-319.7,45.996,153.48,-15.985,-40.616,0.87574,10642
196.71,-961.95,585.63,57.047,259.52,29.281,-15.775,0.95174,4133.4
-22.958,-1146.5,-325.87,-6.6577,246.6,-16.294,-18.801,0.94248,4926.3
-258.36,-1721.6,-1022.5,-74.925,206.34,-51.125,-28.233,0.91362,7397.6
-26.08,-846.84,-345.6,-7.5633,267.57,-17.28,-13.887,0.95751,3638.8
56.147,-1096.8,-565.81,16.283,250.08,-28.291,-17.986,0.94497,4712.7
-27.837,-998.59,-354.65,-8.0727,256.95,-17.733,-16.376,0.9499,4290.9
50.999,-1176.6,-480.01,14.79,244.49,-24,-19.295,0.94097,5055.6
-47.658,-734.18,77.862,-13.821,275.46,3.8931,-12.04,0.96316,3154.7
-108,-764.25,-244.16,-31.32,273.36,-12.208,-12.533,0.96166,3283.9
180.25,-976.32,-63.647,52.272,258.51,-3.1823,-16.011,0.95102,4195.1
-28.807,-1404,163.25,-8.3541,228.57,8.1627,-23.025,0.92955,6033
-51.148,-961.36,-75.942,-14.833,259.56,-3.7971,-15.765,0.95177,4130.9
-14.167,-722.27,-370.72,-4.1086,276.29,-18.536,-11.845,0.96376,3103.5
-1.9373,-1057.8,-393.65,-0.56182,252.81,-19.683,-17.347,0.94693,4545.2
31.17,-821.06,-17.78,9.0392,269.38,-0.88898,-13.465,0.95881,3528
-178.91,-1111.2,-985.79,-51.883,249.07,-49.29,-18.223,0.94425,4774.9
26.729,-737.38,-78.158,7.7513,275.24,-3.9079,-12.092,0.963,3168.4
-29.017,-915.09,-242.51,-8.4151,262.8,-12.126,-15.007,0.95409,3932.1
26.463,-1482.8,-377.32,7.6743,223.05,-18.866,-24.317,0.9256,6371.6
-141.36,-894.56,-365.76,-40.995,264.23,-18.288,-14.67,0.95512,3843.8
125.53,-787.48,-209.5,36.405,271.73,-10.475,-12.914,0.96049,3383.7
-54.526,-1111,-773.7,-15.813,249.08,-38.685,-18.219,0.94426,4773.7
-18.507,-941.49,-237.16,-5.3671,260.95,-11.858,-15.44,0.95276,4045.5
-66.989,-1036.5,-563.18,-19.427,254.3,-28.159,-16.997,0.948,4453.6
-23.023,-1095.5,-253.05,-6.6765,250.17,-12.652,-17.965,0.94504,4707.3
-96.805,-1017.2,-404.73,-28.073,255.65,-20.237,-16.682,0.94896,4371
33.808,-921.57,-401.47,9.8044,262.34,-20.073,-15.113,0.95376,3959.9
-25.901,-869.03,-291.94,-7.5112,266.02,-14.597,-14.251,0.9564,3734.1
47.928,-893.75,15.272,13.899,264.29,0.76358,-14.657,0.95516,3840.3
19.138,-830.73,-303.99,5.5499,268.7,-15.2,-13.623,0.95832,3569.6
-81.738,-1500.1,-357.32,-23.704,221.85,-17.866,-24.6,0.92474,6445.8
27.417,-877.66,18.967,7.9511,265.42,0.94834,-14.393,0.95597,3771.2
4.9592,-821.95,-250.08,1.4382,269.32,-12.504,-13.479,0.95876,3531.8
-1.1812,-1371.9,-345.67,-0.34255,230.82,-17.284,-22.498,0.93117,5894.9
-48.652,-690.22,-124.19,-14.109,278.54,-6.2095,-11.319,0.96537,2965.8
-82.656,-1281.6,-717.37,-23.97,237.14,-35.868,-21.017,0.9357,5506.8
-56.753,-942,-547.47,-16.458,260.91,-27.373,-15.448,0.95274,4047.7
31.118,-885.27,-487.78,9.0244,264.88,-24.389,-14.518,0.95558,3803.9
143.57,-835.88,-378.43,41.636,268.34,-18.921,-13.708,0.95806,3591.7
-92.374,-1094.5,-304.99,-26.789,250.24,-15.249,-17.948,0.94509,4702.8
-26.883,-820.58,-114.34,-7.7961,269.41,-5.7172,-13.457,0.95883,3525.9
-35.319,-1159.9,-124.62,-10.242,245.66,-6.2311,-19.021,0.9418,4984
202.79,-1583.6,-1325.8,58.809,216,-66.288,-25.97,0.92055,6804.7
-116.53,-808.3,-391.42,-33.793,270.27,-19.571,-13.255,0.95945,3473.2
-163.67,-1517,-1282.9,-47.465,220.66,-64.147,-24.878,0.92389,6518.4
-45.885,-958.02,-360.55,-13.307,259.79,-18.027,-15.711,0.95193,4116.5
-41.33,-839.38,-867.05,-11.986,268.1,-43.353,-13.765,0.95789,3606.7
5.3152,-992.75,-43.093,1.5414,257.36,-2.1546,-16.28,0.95019,4265.8
11.977,-1261.6,-313.04,3.4732,238.54,-15.652,-20.689,0.9367,5420.8
20.699,-677.54,-87.378,6.0026,279.42,-4.3689,-11.111,0.96601,2911.3
-22.199,-1505.3,-250.62,-6.4378,221.48,-12.531,-24.685,0.92448,6467.9
33.119,-853.8,114.47,9.6045,267.09,5.7233,-14.002,0.95716,3668.7
-40.89,-715.01,131.46,-11.858,276.8,6.5731,-11.725,0.96413,3072.3
44.248,-980.71,-2.1489,12.832,258.2,-0.10745,-16.083,0.9508,4214
-48.945,-928.76,114.19,-14.194,261.84,5.7094,-15.231,0.9534,3990.8
-28.668,-1466,-385.21,-8.3136,224.24,-19.26,-24.04,0.92645,6299.1
5.8431,-1156.1,-282.95,1.6945,245.92,-14.147,-18.959,0.94199,4967.7
