% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-23.592,-412.53,75.849,-6.8417,159.71,3.7925,-10.007,0.94694,1772.6
25.53,-565.84,-1.2399,7.4037,148.97,-0.061993,-13.725,0.92722,2431.3
-28.24,-535.86,65.882,-8.1895,151.07,3.2941,-12.998,0.93107,2302.5
-16.54,-845.81,-222.25,-4.7967,129.38,-11.113,-20.516,0.89121,3634.4
3.3713,-667.05,-163.25,0.97767,141.89,-8.1626,-16.18,0.9142,2866.2
23.337,-588.83,2.3494,6.7678,147.37,0.11747,-14.283,0.92426,2530.1
45.489,-476.95,34.944,13.192,155.2,1.7472,-11.569,0.93865,2049.4
-151.77,-553.41,-660.49,-44.014,149.84,-33.025,-13.424,0.92882,2377.9
2.1004,-435.79,-96.368,0.60912,158.08,-4.8184,-10.571,0.94395,1872.6
31.217,-594.06,-26.35,9.0528,147,-1.3175,-14.41,0.92359,2552.6
-85.641,-882.2,-378.24,-24.836,126.83,-18.912,-21.399,0.88653,3790.7
-34.822,-566.64,-119.36,-10.098,148.92,-5.968,-13.745,0.92712,2434.8
51.764,-783.72,-58.04,15.012,133.72,-2.902,-19.01,0.89919,3367.6
8.2245,-540.72,50.296,2.3851,150.73,2.5148,-13.116,0.93045,2323.4
-19.365,-649.35,-120.13,-5.6158,143.13,-6.0065,-15.751,0.91648,2790.2
23.641,-580.81,-178.95,6.8558,147.93,-8.9476,-14.088,0.92529,2495.7
-18.703,-485.6,-274.46,-5.4237,154.59,-13.723,-11.779,0.93754,2086.6
-67.25,-631.18,-250.78,-19.502,144.4,-12.539,-15.31,0.91882,2712.1
-21.197,-572.51,-450.46,-6.147,148.51,-22.523,-13.887,0.92636,2460
15.36,-541.57,-277.16,4.4543,150.67,-13.858,-13.136,0.93034,2327
