% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-26.7,-474.66,-37.243,-7.7429,150.54,-1.8622,-11.709,0.93628,2039.6
-29.781,-877.61,-505.98,-8.6366,122.33,-25.299,-21.649,0.88219,3771
1.2421,-442.96,-208.75,0.36022,152.76,-10.438,-10.927,0.94054,1903.3
20.964,-405.14,-10.328,6.0795,155.41,-0.51639,-9.9942,0.94561,1740.9
21.376,-410.76,17.043,6.199,155.01,0.85217,-10.133,0.94486,1765
-27.319,-511.14,40.72,-7.9226,147.99,2.036,-12.609,0.93139,2196.3
0.53028,-430.49,-33.608,0.15378,153.63,-1.6804,-10.619,0.94221,1849.8
24.671,-381.52,-1.68,7.1545,157.06,-0.084001,-9.4113,0.94879,1639.3
-14.995,-479.06,-198.95,-4.3487,150.23,-9.9474,-11.818,0.93569,2058.5
0.96798,-529.91,-19.607,0.28072,146.67,-0.98036,-13.072,0.92887,2277
11.748,-389.55,18.19,3.4069,156.5,0.90949,-9.6096,0.94771,1673.9
-60.365,-890.48,-207.73,-17.506,121.43,-10.387,-21.966,0.88047,3826.3
-22.211,-700.6,-198.69,-6.4413,134.72,-9.9347,-17.283,0.90595,3010.4
50.076,-501.25,-451.57,14.522,148.68,-22.578,-12.365,0.93271,2153.8
3.4892,-509.66,-92.51,1.0119,148.09,-4.6255,-12.572,0.93158,2190
-22.94,-466.78,-102.91,-6.6525,151.09,-5.1455,-11.515,0.93734,2005.7
-31.68,-570.62,-301.63,-9.1873,143.82,-15.082,-14.076,0.9234,2451.9
51.946,-428.82,-5.3467,15.064,153.75,-0.26733,-10.578,0.94244,1842.6
0.67387,-691.03,-243.64,0.19542,135.39,-12.182,-17.046,0.90724,2969.3
55.609,-442.1,-34.741,16.127,152.82,-1.7371,-10.906,0.94065,1899.7
-25.858,-374.26,-71.452,-7.499,157.57,-3.5726,-9.2324,0.94976,1608.2
26.453,-444.39,-45.189,7.6713,152.66,-2.2594,-10.962,0.94035,1909.5
5.316,-753.68,-66.28,1.5416,131.01,-3.314,-18.592,0.89883,3238.5
-6.1899,-710.61,-62.077,-1.7951,134.02,-3.1039,-17.529,0.90461,3053.4
37.119,-1081.5,-180.07,10.765,108.06,-9.0037,-26.679,0.85482,4647.1
107.01,-543.28,246.17,31.034,145.74,12.309,-13.402,0.92707,2334.4
-67.178,-462.63,-217.1,-19.482,151.38,-10.855,-11.412,0.9379,1987.9
-5.826,-610.03,-367.26,-1.6895,141.07,-18.363,-15.048,0.91811,2621.2
