Scenario,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus
3,Australia,corn,-0.301746815094881,-0.14193425728886,-34200960.5898971,4906068.25834857,7296888.81370713,-0.411781036754459,0.463450970241073
3,Brazil,corn,-0.176513004621361,-0.195873721039343,-2707840217.89373,343337239.566128,3178375882.02349,-0.358173721768354,0.0594117926195423
3,Canada,corn,1.48670120749446,-0.581943249918408,1363515567.92303,667061289.024668,1583146763.51751,-0.183561246721541,-1.61036669800422
3,China,corn,1.23970385969167,-0.363972358163851,88351248948.2832,8360310691.38543,45054191701.7448,0.272397843069358,-0.9312284174839
3,Egypt,corn,-0.991644937224446,0.0921990817755061,-3611278128.07629,928227273.625636,-860804307.437986,-0.99060507425287,2.70248459336613
3,India,corn,-1,0.173589845836612,-2646137604.63,0,2646137604.63,-1,-1
3,Indonesia,corn,-0.445963363357879,-0.0642924070316788,-3120114864.14578,582445617.884138,-225080024.648009,-0.48336058387597,1.11853330721426
3,Mexico,corn,-1,0.0585898458366116,-3474995167.7896,0,3474995167.7896,-1,-1
3,Pakistan,corn,0.130564747555749,-0.290922223741426,97785207.1075613,-3114504.72599223,296787547.016487,-0.254337566147841,-0.550680631894599
3,Russia,corn,0.883142783654979,-0.491697665536353,851770347.697794,288651821.273596,1374564733.55021,-0.307986126915365,-1.4121113957523
3,South Africa,corn,-1,0.113589845836612,-1665619087.5,0,1665619087.5,-1,-1
3,Thailand,corn,-1,0.0435898458366115,-680823901.1015,0,680823901.1015,-1,-1
3,Ukraine,corn,0.965006151185329,-0.577754125109549,1933686838.19529,937074383.602358,3640543368.70386,-0.40840738990544,-1.60375738628704
3,United States,corn,0.78567845596925,-0.37474582739341,30476712606.1184,3182645280.24111,27581432072.0049,-0.028760652868932,-0.980854875566805
3,Vietnam,corn,-0.355907097091948,-0.183056836659972,-650488129.176305,72842764.4271844,137346101.648917,-0.483552810521462,0.151626178883583
3,Argentina,soybean,0.624783533155814,-0.356972602443191,14722866061.1156,-6295105711.23938,200150003094.381,0.102037426730937,-0.349798442990307
3,Brazil,soybean,-0.966210874727137,-0.302704579125209,-62991690548.1229,32507663548.4977,522061276053.564,-0.97138527939225,-0.321954133940827
3,Canada,soybean,0.632721185566185,-0.499533310505841,2047943924.16035,-858118208.766415,19247595594.5896,-0.0174912152456913,-0.442987618164211
3,China,soybean,0.0762851966928095,-0.343260144031615,1235185357.62249,-567156522.056385,43591721904.9216,-0.225160021576705,-0.342365509583605
3,India,soybean,-1,0.0242028322582462,514275986.25,0,-514275986.25,-1,-1
3,Japan,soybean,-0.0356884680273887,-0.338676379012241,-19863819.3847988,9286864.87858787,907224151.894157,-0.285210523972591,-0.339940751882064
3,United States,soybean,0.0468886617837135,-0.356779383841137,2823724528.97998,-1296174590.53606,309093007540.314,-0.276469516618025,-0.349691841669142
3,China,sugarcane,0.0393525653367631,-0.0308406054544213,1690022342.92118,30032874.5169522,3524052265.58414,0.00386061147950408,-0.0607300679640472
4,Argentina,corn,0.367387965903713,-0.387764414618811,1165544624.21969,237676159.956242,2554199962.26337,-0.522939309720403,-0.954129847917173
4,Australia,corn,0.209201808842522,-0.327169214426344,18247970.4268809,37476.6245813641,40172950.7387644,-0.243906246232657,-0.656278283856249
4,Brazil,corn,-0.202092653268755,-0.208655463235323,-3060233115.00843,372254095.494755,3384601871.32836,-0.388185993306283,0.0789792797224246
4,Canada,corn,1.37763019239612,-0.57603357080362,1289493216.26581,599952979.720641,1556768530.22422,-0.199554891730879,-1.54247860164794
4,China,corn,1.01609196478576,-0.360787823031088,73557811433.9449,5863670293.4259,43108211824.9229,0.165161411862044,-0.828052827931323
4,Egypt,corn,-1,0.168657045703626,-1906194366.6898,0,1906194366.6898,-1,-1
4,India,corn,-1,0.0836570457036259,-2646137604.63,0,2646137604.63,-1,-1
4,Indonesia,corn,-0.364534613797501,-0.115551988716296,-2403420825.55284,384036348.060648,280003061.595548,-0.446134119267602,0.798335019928348
4,Mexico,corn,-1,-0.0313429542963738,-3474995167.7896,0,3474995167.7896,-1,-1
4,Pakistan,corn,-0.291943280137403,-0.145320747298925,-267901260.204327,38183202.3153951,82916155.9946553,-0.407974115486402,0.554765347338378
4,Russia,corn,0.972181895701585,-0.536250466827464,830645272.985593,387672618.643871,1518403466.71715,-0.389369360276489,-1.4606528882862
4,South Africa,corn,-1,0.023657045703626,-1665619087.5,0,1665619087.5,-1,-1
4,Thailand,corn,-0.92155118436694,-0.148592484428479,-1102786039.2794,180149717.574312,-22168472.0025666,-0.932060268806022,0.52877350494175
4,Ukraine,corn,0.909017617880264,-0.577334792810604,1830369212.92919,874631087.422646,3622776206.99182,-0.421307765674662,-1.54477034626428
4,United States,corn,0.147165586246665,-0.284417524593815,6876169978.84643,-221024420.314927,16476032296.2189,-0.227546168001016,-0.41434927378029
4,Vietnam,corn,-0.643567920544094,-0.156207759265457,-1213531097.951,153570617.579547,69434352.9783721,-0.704776695613689,0.468871512954136
4,Argentina,soybean,0.498363349909139,-0.351643115659836,11960628806.9645,-5216355830.22119,209803921785.37,0.0374086032976656,-0.345873163716686
4,Brazil,soybean,-0.919010753079764,-0.302423601788918,-59682063344.2124,30682403863.204,516297813912.697,-0.931707940618994,-0.320740179247507
4,Canada,soybean,0.615800649828363,-0.493134194369198,2008683562.93928,-845738131.642755,19518905721.9353,-0.0190388699138429,-0.437396999282908
4,China,soybean,0.041850828253644,-0.340230302618449,682819184.849256,-315661597.38774,44342849668.906,-0.243223946355161,-0.339737232827519
4,India,soybean,-1,-0.138751893053709,514275986.25,0,-514275986.25,-1,-1
4,Japan,soybean,-0.436465281291901,-0.306449135815214,-259642880.46295,127778821.796277,1012653567.51919,-0.549683448521921,-0.322665789727356
4,United States,soybean,-0.152920535866424,-0.288873175612055,-10053691253.918,4865933182.87035,385578703401.762,-0.344648343095237,-0.314428460949837
4,China,sugarcane,-0.233428397498881,0.182937835119873,-12367260579.3727,1056715752.24645,-7056171622.07513,-0.0781538105258699,0.399341921758093
5,Argentina,corn,0.170595432000626,-0.278605422843584,695181885.598495,515558.739829828,1266374046.23395,-0.348173289636111,-0.588485400084719
5,Australia,corn,0.251403126059514,-0.300603037612719,22826432.8694552,-503376.997191459,35810128.2296677,-0.180381094711834,-0.711717709394909
5,Brazil,corn,-0.202589635363041,-0.168249612802605,-3227071303.8475,471702480.905936,2411867549.32657,-0.348579548714783,0.134815149167518
5,Canada,corn,1.57459287288312,-0.581053382406483,1442607609.03359,709363640.871593,1586787876.3599,-0.15579945438717,-1.67259426285027
5,China,corn,1.34094203162834,-0.3529912248062,96962879074.8433,8348600299.20449,44018442181.0075,0.351198798575123,-0.97716479422328
5,Egypt,corn,-1,0.1878679341538,-1906194366.6898,0,1906194366.6898,-1,-1
5,India,corn,-1,0.1028679341538,-2646137604.63,0,2646137604.63,-1,-1
5,Indonesia,corn,-0.416012347960684,-0.0549881565468559,-2939015806.76766,560398621.200551,-307145869.498622,-0.449398781977617,1.05937025182124
5,Mexico,corn,-1,-0.0121320658461996,-3474995167.7896,0,3474995167.7896,-1,-1
5,Pakistan,corn,-0.180411819513354,-0.148536412033157,-164577124.310681,22864676.1282708,91023707.9960022,-0.31936730311466,0.282467164299518
5,Russia,corn,0.926029123301322,-0.482815321784242,907015672.010019,295828634.278521,1359791068.34447,-0.2770483399332,-1.46479015008359
5,South Africa,corn,-1,0.0428679341538003,-1665619087.5,0,1665619087.5,-1,-1
5,Thailand,corn,-1,-0.0271320658461999,-680823901.1015,0,680823901.1015,-1,-1
5,Ukraine,corn,1.02405452358775,-0.577316104899076,2046402765.33699,1000957513.03248,3653323726.5643,-0.392982202196236,-1.66722958827337
5,United States,corn,0.83435155269471,-0.361988312930508,32991127473.867,3034019979.07597,26752545359.3198,0.0201828279802433,-1.01877907666477
5,Vietnam,corn,-1,0.0128679341538004,-1160359209.1713,0,1160359209.1713,-1,-1
5,Argentina,soybean,0.0686204352617304,-0.27471637838842,1843340718.13729,-871373168.972028,269962988573.056,-0.161017015247523,-0.273827641284791
5,Brazil,soybean,-0.766279497706833,-0.242349687598603,-51552170390.8726,26516302081.2989,543806256245.903,-0.795073682225752,-0.258937456193585
5,Canada,soybean,0.859880569204775,-0.48797100980807,2793619467.5332,-1164162598.20052,19210341626.1695,0.123988869215442,-0.409348906319573
5,China,soybean,0.322032660714022,-0.281051684024727,5338624542.53793,-2412698409.14088,43990122396.4653,-0.0216298449653248,-0.276917311897773
5,India,soybean,-1,-0.0265567711022542,514275986.25,0,-514275986.25,-1,-1
5,Japan,soybean,-0.835528073560246,-0.210336261989858,-556245217.092235,289491195.315601,1223889614.18471,-0.850961298489014,-0.245681952442357
5,United States,soybean,0.155078248800375,-0.3240216113622,9488163353.70628,-4335271754.63466,314440941186.484,-0.185104835332084,-0.299386668349041
5,China,sugarcane,-0.111323203411604,0.0872439945136744,-5397934614.28054,240337862.439081,-2320136240.94087,-0.0254765236035332,0.182099503606051
6,Argentina,corn,0.469484234637297,-0.403786007451232,1387866237.29202,387486713.108001,2903096765.67447,-0.544261287897423,-1.10860309011405
6,Australia,corn,-0.0948619211917656,-0.208636400940861,-9856520.71038897,977526.026154835,19205218.3841833,-0.308531763596427,-0.0331123851524187
6,Brazil,corn,-0.0759723024349024,-0.220473449719452,-1114084839.34804,110264512.426077,4165840631.83278,-0.319667802227462,-0.113958293543283
6,Canada,corn,1.47731396167254,-0.579248736512862,1365449233.41449,656140296.402323,1574063966.46784,-0.178838929576643,-1.6077652449043
6,China,corn,1.45326739934274,-0.384793265262452,98784854483.3926,13144357109.9526,49655983972.7348,0.323176871460835,-1.02800182026258
6,Egypt,corn,-1,0.166064427689475,-1906194366.6898,0,1906194366.6898,-1,-1
6,India,corn,-0.868308958685209,-0.0223892856568756,-4171201950.83609,899865091.032165,-659124641.812253,-0.868898604828724,1.50435197580137
6,Indonesia,corn,-0.422438264498949,-0.0730258491155916,-2926065262.14932,533106472.737447,-136951432.691147,-0.467507581673924,1.03694684516346
6,Mexico,corn,-1,-0.0339355723105244,-3474995167.7896,0,3474995167.7896,-1,-1
6,Pakistan,corn,0.0826882094491185,-0.271714927013334,63758038.5113649,-3128144.97119225,268834540.24472,-0.260842032979143,-0.440679168559933
6,Russia,corn,0.82407484198419,-0.474327855293672,832462765.484862,243938491.429571,1312902372.18086,-0.285870568435224,-1.36252971882994
6,South Africa,corn,-1,0.0210644276894754,-1665619087.5,0,1665619087.5,-1,-1
6,Thailand,corn,-1,-0.0489355723105246,-680823901.1015,0,680823901.1015,-1,-1
6,Ukraine,corn,0.970538920140217,-0.579155147377254,1936611909.85588,947764406.711856,3651500988.47225,-0.41025956963632,-1.60761707603817
6,United States,corn,0.825865833946768,-0.381102515850049,31584935416.5839,3657713246.1517,28337671042.0305,-0.0231596707506566,-1.01173674749805
6,Vietnam,corn,-0.993366645298589,-0.0805278620804038,-2043069721.27286,339834269.01527,-137525189.706048,-0.993987641593716,0.970836688239839
6,Argentina,soybean,0.602729945166413,-0.375307282690909,13975653142.1849,-5936102039.33219,194673098273.675,0.0674798184521476,-0.368583693275738
6,Brazil,soybean,-0.883994889258242,-0.324879238491418,-56174612093.9264,28648881660.7116,494798619783.525,-0.904510032592727,-0.341930761428724
6,Canada,soybean,0.562600191226304,-0.500889081868324,1823350212.78753,-766342250.454917,19340733544.8777,-0.0582912597961649,-0.450746242942606
6,China,soybean,0.103652392762278,-0.362830343880805,1641147509.20121,-744186349.736601,41859837496.2996,-0.226078635276801,-0.361650983890586
6,India,soybean,-1,0.022242796359518,514275986.25,0,-514275986.25,-1,-1
6,Japan,soybean,-0.785114504713481,-0.301355446208236,-483984806.602577,246074091.407236,1088438031.14434,-0.821281626909852,-0.330740230466504
6,United States,soybean,0.0266669273327877,-0.369012453154236,1591881680.64851,-729587755.475274,304264570767.821,-0.298530126989268,-0.365058225875223
6,China,sugarcane,-0.169518742989134,0.132851838880584,-8582699964.48838,557296417.071967,-4577338618.96892,-0.0473552263460386,0.283353288855121
7,Argentina,corn,0.448375895249138,-0.386686971600463,1383861623.37482,329833170.295556,2731190853.64089,-0.520143610572639,-1.07911986628975
7,Australia,corn,0.167194671108171,-0.284093676373424,15579666.4424541,-589579.868141983,32762053.1630841,-0.212374205862482,-0.563957775330091
7,Brazil,corn,-0.225161559303721,-0.173465018437334,-3573815901.27701,520171463.135946,2448167532.13789,-0.369829206045257,0.161254235641303
7,Canada,corn,1.52189296013451,-0.579790789094202,1402096865.82659,679701002.697638,1579006766.97459,-0.16739468276128,-1.63797849533937
